Name,HR,R,SB
Michael Harris,26,94,14
William Harris,22,114,15
David Harris,24,77,0
Richard Harris,14,88,15
Charles Harris,24,95,18
Joseph Harris,8,68,14
Thomas Harris,18,90,0
Christopher Harris,26,100,18
Daniel Harris,19,96,0
Paul Harris,30,97,20
Mark Harris,18,104,9
George Harris,13,85,14
James Martin,21,81,30
John Martin,24,107,12
Robert Martin,17,95,0
Michael Martin,23,99,12
William Martin,26,116,7
David Martin,5,84,13
Richard Martin,31,126,8
Charles Martin,12,100,0
Joseph Martin,21,88,3
Thomas Martin,11,75,10
Christopher Martin,32,99,0
Daniel Martin,24,88,3
Paul Martin,34,120,10
Mark Martin,23,109,5
George Martin,9,105,14
James Thompson,18,84,10
John Thompson,9,102,0
Robert Thompson,20,89,0
Michael Thompson,24,107,2
William Thompson,6,95,0
David Thompson,20,101,14
Richard Thompson,16,99,0
Charles Thompson,20,86,12
Joseph Thompson,10,73,4
Thomas Thompson,14,102,0
Christopher Thompson,30,105,0
Daniel Thompson,26,96,0
Paul Thompson,6,79,0
Mark Thompson,26,93,24
George Thompson,12,92,26
James Garcia,14,71,0
John Garcia,29,88,0
Robert Garcia,27,104,8
Michael Garcia,15,71,0
William Garcia,24,102,8
David Garcia,14,97,0
Richard Garcia,22,122,0
Charles Garcia,5,66,3
Joseph Garcia,29,96,1
Thomas Garcia,16,106,0
Christopher Garcia,36,124,1
Daniel Garcia,19,82,0
Paul Garcia,23,99,5
Mark Garcia,20,104,0
George Garcia,21,95,9
James Martinez,18,100,6
John Martinez,20,122,22
Robert Martinez,16,91,12
Michael Martinez,5,93,1
William Martinez,9,94,25
David Martinez,9,88,0
Richard Martinez,23,102,10
Charles Martinez,25,102,13
Joseph Martinez,20,88,0
Thomas Martinez,22,99,0
Christopher Martinez,16,78,17
Daniel Martinez,23,118,12
Paul Martinez,25,102,17
Mark Martinez,16,118,7
George Martinez,29,116,16
James Robinson,16,109,32
John Robinson,20,103,0
Robert Robinson,7,101,4
Michael Robinson,26,110,0
William Robinson,28,95,0
David Robinson,35,105,0
Richard Robinson,19,87,35
Charles Robinson,1,91,0
Joseph Robinson,21,104,0
Thomas Robinson,16,90,2
Christopher Robinson,7,73,9
Daniel Robinson,13,83,0
Paul Robinson,7,89,20
Mark Robinson,17,76,31
George Robinson,23,111,0
